Date,CommodityContract,Value (Rs. In Lakhs),Traded Contracts (in Lots),SegmentName
30-Jun-15,GOLD         ,422624.62,15930,PRECIOUS METAL PRODUCTS
1-Jul-15,GOLD         ,269989.46,10204,PRECIOUS METAL PRODUCTS
2-Jul-15,GOLD         ,368434.82,14038,PRECIOUS METAL PRODUCTS
3-Jul-15,GOLD         ,219305.89,8339,PRECIOUS METAL PRODUCTS
6-Jul-15,GOLD         ,274925.96,10458,PRECIOUS METAL PRODUCTS
7-Jul-15,GOLD         ,452831.36,17330,PRECIOUS METAL PRODUCTS
8-Jul-15,GOLD         ,434925.8,16698,PRECIOUS METAL PRODUCTS
9-Jul-15,GOLD         ,340129.48,13010,PRECIOUS METAL PRODUCTS
10-Jul-15,GOLD         ,257912.04,9881,PRECIOUS METAL PRODUCTS
13-Jul-15,GOLD         ,292221.26,11230,PRECIOUS METAL PRODUCTS
14-Jul-15,GOLD         ,279951.59,10782,PRECIOUS METAL PRODUCTS
15-Jul-15,GOLD         ,309207.14,11945,PRECIOUS METAL PRODUCTS
16-Jul-15,GOLD         ,282583.32,10970,PRECIOUS METAL PRODUCTS
17-Jul-15,GOLD         ,360577.55,14073,PRECIOUS METAL PRODUCTS
20-Jul-15,GOLD         ,532461.98,21248,PRECIOUS METAL PRODUCTS
21-Jul-15,GOLD         ,417722.69,16739,PRECIOUS METAL PRODUCTS
22-Jul-15,GOLD         ,521329.02,21128,PRECIOUS METAL PRODUCTS
23-Jul-15,GOLD         ,493795.69,19895,PRECIOUS METAL PRODUCTS
24-Jul-15,GOLD         ,594477.11,24183,PRECIOUS METAL PRODUCTS
27-Jul-15,GOLD         ,656014.54,26312,PRECIOUS METAL PRODUCTS
28-Jul-15,GOLD         ,452138.9,18240,PRECIOUS METAL PRODUCTS
29-Jul-15,GOLD         ,438036.29,17666,PRECIOUS METAL PRODUCTS
